variable,value
x1,8.34
x2,5.26
x3,4.99
x4,3.99
x5,2.99
x6,3.37
x7,4.48
x8,4.13
x1,8.52
x2,5.79
x3,5.5
x4,4.27
x5,2.91
x6,4.33
x7,7.24
x8,12.3
x1,5.97
x2,4.02
x3,6.16
x4,4.24
x5,4.58
x6,3.11
x7,6.4
x8,4.27
x1,6.72
x2,7.1
x3,3.84
x4,7.14
x5,14.9
x6,8.17
x7,7.39
x8,10.1
x1,7.43
x2,5.17
x3,2.29
x4,8.78
x5,6.74
x6,4.36
x7,4.41
x8,4.7
x1,4.92
x2,4.22
x3,6.01
x4,2.43
x5,7.09
x6,4.52
x7,13.1
x8,7.49
x1,8.83
x2,3.09
x3,5.43
x4,1.34
x5,12.7
x6,4.66
x7,6.56
x8,6.22
x1,8.08
x2,1.91
x3,3.9
x4,3.54
x5,1.84
x6,2.46
x7,4.94
x8,2.1
x1,2.83
x2,5.15
x3,5.69
x4,10.3
x5,6.83
x6,4.7
x7,6.91
x8,6.29
x1,5.67
x2,3.09
x3,7.24
x4,4.64
x5,6.06
x6,5.69
x7,4.34
x8,8.18
x1,7.32
x2,14.8
x3,3.47
x4,7.08
x5,9.31
x6,5.52
x7,2.85
x8,9.86
x1,7.51
x2,10.1
x3,5.4
x4,6.33
x5,5.71
x6,3.94
x7,6.61
x8,15.9
x1,8.57
x2,7.47
x3,6.66
x4,5.91
x5,3.4
x6,13.4
x7,8.68
x8,7
x1,6.06
x2,6.12
x3,5.1
x4,3.63
x5,10.8
x6,10.1
x7,5.78
x8,9.48
x1,5.85
x2,5.78
x3,4.77
x4,4.57
x5,4.86
x6,6.56
x7,2
x8,9.39
x1,5.94
x2,7.02
x3,7.71
x4,3.29
x5,5
x6,1.86
x7,3.11
x8,6.6
x1,9.59
x2,6.6
x3,4.06
x4,3.28
x5,6.51
x6,6.81
x7,6.68
x8,4.44
x1,4.65
x2,7.72
x3,5.02
x4,7.1
x5,5.09
x6,2.4
x7,6.81
x8,4.5
x1,12.7
x2,6.39
x3,8.17
x4,6.08
x5,5.96
x6,4.1
x7,6.56
x8,7.75
x1,5.84
x2,4.5
x3,5.53
x4,4.98
x5,3.35
x6,2.94
x7,6.16
x8,6.38
