dex id,watch_num,movie
DEX:1254175,1,0021SAND.mov
DEX:1254175,2,0024DOLL.mov
DEX:1254175,3,0022SAND.mov
DEX:1620244,1,0023DOLL.mov
DEX:1620244,2,0022SAND.mov
DEX:1288903,1,0021SAND.mov
DEX:1288903,2,0023DOLL.mov
DEX:1288903,3,0024DOLL.mov
DEX:1288903,4,0022SAND.mov
DEX:2013713,1,0021SAND.mov
DEX:2013713,2,0024DOLL.mov
DEX:2013713,3,0022SAND.mov
DEX:1631988,1,0024DOLL.mov
DEX:1631988,2,0022SAND.mov
DEX:1729695,1,0021SAND.mov
DEX:1729695,2,0023DOLL.mov
DEX:1729695,3,0022SAND.mov
DEX:1857451,1,0021SAND.mov
DEX:1857451,2,0024DOLL.mov
DEX:1857451,3,0022SAND.mov
DEX:1545188,1,0023DOLL.mov
DEX:1545188,2,0024DOLL.mov
DEX:1545188,3,0022SAND.mov
DEX:2000711,1,0021SAND.mov
DEX:2000711,2,0024DOLL.mov
DEX-1403518,1,0021SAND.mov
DEX-1403518,2,0023DOLL.mov
DEX-1403518,3,0022SAND.mov
DEX-2005642,1,0021SAND.mov
DEX-2005642,2,0023DOLL.mov
DEX-2267037,1,0021SAND.mov
DEX-2267037,2,0023DOLL.mov
DEX-2267037,3,0022SAND.mov
DEX-1590286,1,0023DOLL.mov
DEX-1590286,2,0024DOLL.mov
DEX-1590286,3,0022SAND.mov
DEX-1932340,1,0021SAND.mov
DEX-1932340,2,0023DOLL.mov
DEX-1932340,3,0024DOLL.mov
DEX-1245521,1,0021SAND.mov
DEX-1245521,2,0023DOLL.mov
DEX-1245521,3,0022SAND.mov
DEX-1085015,1,0021SAND.mov
DEX-1085015,2,0023DOLL.mov
DEX-1085015,3,0024DOLL.mov
DEX-1085015,4,0022SAND.mov
DEX-1387647,1,0021SAND.mov
DEX-1387647,2,0023DOLL.mov
DEX-1387647,3,0024DOLL.mov
DEX-1140717,1,0022SAND.mov
DEX-1068682,1,0021SAND.mov
DEX-1068682,2,0023DOLL.mov
DEX-1068682,3,0024DOLL.mov
DEX-1667990,3,0024DOLL.mov
DEX-1667990,4,0022SAND.mov
